load_id,origin_city,origin_state,destination_city,destination_state,pickup_datetime,delivery_datetime,equipment_type,loadboard_rate,notes,weights,commodity_type
1,san francisco,california,las vegas,nevada,2025-09-15 07:29,2025-09-19 07:29,cranes,5505.05,"heavy load, confirm bridge clearance",15760,steel
2,denver,colorado,chicago,illinois,2025-09-09 07:29,2025-09-11 07:29,mining equipment,4366.91,delivery to mining site,14265,steel
3,memphis,tennessee,houston,texas,2025-09-12 07:29,2025-09-13 07:29,medical equipment,6064.33,"fragile, no stacking",11406,pharmaceuticals
4,atlanta,georgia,san francisco,california,2025-09-11 07:29,2025-09-12 07:29,construction machinery,7454.0,must deliver to construction site,15646,machinery
5,salt lake city,utah,boston,massachusetts,2025-09-11 07:29,2025-09-16 07:29,robotics/automation units,1874.23,"fragile, shock protection required",34236,paper goods
6,dallas,texas,st. louis,missouri,2025-09-15 07:29,2025-09-21 07:29,robotics/automation units,6856.57,"fragile, shock protection required",21107,paper goods
7,memphis,tennessee,seattle,washington,2025-09-15 07:29,2025-09-16 07:29,mining equipment,4022.75,"extra heavy, special trailer required",30755,steel
8,portland,oregon,phoenix,arizona,2025-09-08 07:29,2025-09-11 07:29,construction machinery,4875.92,must deliver to construction site,37105,steel
9,san francisco,california,chicago,illinois,2025-09-13 07:29,2025-09-15 07:29,farm equipment,7501.99,delivery to rural farm,42189,beverages
10,atlanta,georgia,boston,massachusetts,2025-09-13 07:29,2025-09-14 07:29,transformers,5918.63,special permits required,27649,steel
11,detroit,michigan,san francisco,california,2025-09-11 07:29,2025-09-18 07:29,medical equipment,6274.18,delivery to hospital dock only,40843,pharmaceuticals
12,denver,colorado,chicago,illinois,2025-09-11 07:29,2025-09-15 07:29,transformers,6981.97,special permits required,47702,steel
13,chicago,illinois,cleveland,ohio,2025-09-15 07:29,2025-09-21 07:29,generators,4475.5,requires crane at delivery,13905,machinery
14,san francisco,california,boston,massachusetts,2025-09-09 07:29,2025-09-10 07:29,mining equipment,1933.82,delivery to mining site,18568,steel
15,detroit,michigan,new york,new york,2025-09-13 07:29,2025-09-19 07:29,cranes,7100.69,escort vehicle mandatory,24736,steel
16,st. louis,missouri,minneapolis,minnesota,2025-09-07 07:29,2025-09-14 07:29,transformers,1299.76,needs escort vehicle,32453,steel
17,denver,colorado,cleveland,ohio,2025-09-15 07:29,2025-09-17 07:29,transformers,4603.66,needs escort vehicle,38869,steel
18,salt lake city,utah,st. louis,missouri,2025-09-07 07:29,2025-09-09 07:29,generators,3164.35,"fragile, handle with care",42752,machinery
19,detroit,michigan,miami,florida,2025-09-08 07:29,2025-09-10 07:29,transformers,7804.5,"high-value, insurance required",26569,steel
20,atlanta,georgia,portland,oregon,2025-09-13 07:29,2025-09-14 07:29,construction machinery,1464.64,must deliver to construction site,47866,machinery
21,houston,texas,denver,colorado,2025-09-08 07:29,2025-09-09 07:29,medical equipment,4646.61,delivery to hospital dock only,12122,electronics
22,miami,florida,st. louis,missouri,2025-09-13 07:29,2025-09-18 07:29,robotics/automation units,7411.81,"fragile, shock protection required",38682,electronics
23,atlanta,georgia,cleveland,ohio,2025-09-13 07:29,2025-09-17 07:29,hvac units,4752.31,forklift required at delivery,39321,electronics
24,portland,oregon,las vegas,nevada,2025-09-11 07:29,2025-09-17 07:29,cranes,5485.66,"heavy load, confirm bridge clearance",11439,machinery
25,denver,colorado,atlanta,georgia,2025-09-12 07:29,2025-09-13 07:29,cranes,3537.98,escort vehicle mandatory,28920,machinery
26,houston,texas,atlanta,georgia,2025-09-10 07:29,2025-09-13 07:29,generators,3933.91,requires crane at delivery,36887,electronics
27,phoenix,arizona,atlanta,georgia,2025-09-07 07:29,2025-09-13 07:29,construction machinery,1459.27,"oversized load, permits needed",8349,steel
28,atlanta,georgia,portland,oregon,2025-09-14 07:29,2025-09-15 07:29,robotics/automation units,2797.52,"fragile, shock protection required",37055,electronics
29,new york,new york,detroit,michigan,2025-09-09 07:29,2025-09-11 07:29,farm equipment,3290.94,"handle carefully, sensitive hydraulics",27741,beverages
30,memphis,tennessee,denver,colorado,2025-09-09 07:29,2025-09-15 07:29,transformers,1716.18,"high-value, insurance required",12068,steel
31,dallas,texas,san francisco,california,2025-09-06 07:29,2025-09-09 07:29,hvac units,3754.2,do not stack units,20952,paper goods
32,cleveland,ohio,salt lake city,utah,2025-09-11 07:29,2025-09-14 07:29,medical equipment,2605.85,delivery to hospital dock only,11309,pharmaceuticals
33,miami,florida,cleveland,ohio,2025-09-13 07:29,2025-09-19 07:29,mining equipment,6569.27,requires unloading with crane,13897,machinery
34,portland,oregon,las vegas,nevada,2025-09-07 07:29,2025-09-12 07:29,generators,7590.05,secure load with chains,16740,electronics
35,los angeles,california,miami,florida,2025-09-15 07:29,2025-09-21 07:29,medical equipment,4832.36,"fragile, no stacking",13257,pharmaceuticals
36,cleveland,ohio,las vegas,nevada,2025-09-06 07:29,2025-09-09 07:29,construction machinery,3881.48,"oversized load, permits needed",35389,machinery
37,seattle,washington,minneapolis,minnesota,2025-09-07 07:29,2025-09-13 07:29,farm equipment,2173.38,requires unloading assistance,46015,produce
38,detroit,michigan,memphis,tennessee,2025-09-15 07:29,2025-09-21 07:29,construction machinery,1696.26,requires flatbed with ramps,34082,machinery
39,portland,oregon,seattle,washington,2025-09-08 07:29,2025-09-09 07:29,wind turbines,5720.47,"oversized load, route survey required",29886,steel
40,salt lake city,utah,seattle,washington,2025-09-07 07:29,2025-09-13 07:29,hvac units,2079.25,do not stack units,10756,electronics
41,cleveland,ohio,st. louis,missouri,2025-09-07 07:29,2025-09-13 07:29,robotics/automation units,1659.17,delivery to tech facility only,14909,electronics
42,dallas,texas,seattle,washington,2025-09-15 07:29,2025-09-21 07:29,farm equipment,2313.89,"handle carefully, sensitive hydraulics",16707,produce
43,phoenix,arizona,los angeles,california,2025-09-06 07:29,2025-09-07 07:29,construction machinery,4734.81,must deliver to construction site,35496,steel
44,houston,texas,dallas,texas,2025-09-11 07:29,2025-09-13 07:29,transformers,4755.41,special permits required,44076,machinery
45,atlanta,georgia,houston,texas,2025-09-07 07:29,2025-09-12 07:29,cranes,5704.46,escort vehicle mandatory,17174,machinery
46,memphis,tennessee,denver,colorado,2025-09-08 07:29,2025-09-09 07:29,transformers,3120.03,special permits required,38269,steel
47,detroit,michigan,los angeles,california,2025-09-09 07:29,2025-09-12 07:29,farm equipment,6169.84,requires unloading assistance,21486,produce
48,san francisco,california,new york,new york,2025-09-08 07:29,2025-09-15 07:29,hvac units,4868.03,protect from rain,14034,electronics
49,detroit,michigan,portland,oregon,2025-09-12 07:29,2025-09-14 07:29,farm equipment,6887.65,delivery to rural farm,18153,beverages
50,boston,massachusetts,cleveland,ohio,2025-09-10 07:29,2025-09-11 07:29,cranes,4470.82,escort vehicle mandatory,18910,steel
51,las vegas,nevada,st. louis,missouri,2025-09-10 07:29,2025-09-16 07:29,cranes,4359.68,"heavy load, confirm bridge clearance",25316,machinery
52,atlanta,georgia,minneapolis,minnesota,2025-09-13 07:29,2025-09-17 07:29,farm equipment,6670.35,requires unloading assistance,24664,beverages
53,minneapolis,minnesota,seattle,washington,2025-09-12 07:29,2025-09-19 07:29,mining equipment,5022.97,"extra heavy, special trailer required",5433,machinery
54,las vegas,nevada,minneapolis,minnesota,2025-09-07 07:29,2025-09-08 07:29,generators,5000.24,"fragile, handle with care",32200,electronics
55,seattle,washington,san francisco,california,2025-09-11 07:29,2025-09-14 07:29,generators,7413.27,secure load with chains,20808,steel
56,portland,oregon,detroit,michigan,2025-09-09 07:29,2025-09-16 07:29,construction machinery,2188.82,must deliver to construction site,39837,steel
57,detroit,michigan,san francisco,california,2025-09-15 07:29,2025-09-19 07:29,cranes,2675.65,escort vehicle mandatory,10799,steel
58,dallas,texas,minneapolis,minnesota,2025-09-08 07:29,2025-09-09 07:29,farm equipment,5592.83,delivery to rural farm,46560,produce
59,atlanta,georgia,san francisco,california,2025-09-11 07:29,2025-09-17 07:29,generators,4121.85,requires crane at delivery,24790,steel
60,new york,new york,minneapolis,minnesota,2025-09-07 07:29,2025-09-14 07:29,medical equipment,1765.54,"fragile, no stacking",30225,electronics
61,portland,oregon,san francisco,california,2025-09-15 07:29,2025-09-21 07:29,cranes,6577.0,"heavy load, confirm bridge clearance",13283,steel
62,seattle,washington,cleveland,ohio,2025-09-10 07:29,2025-09-16 07:29,generators,4936.07,requires crane at delivery,6442,machinery
63,new york,new york,st. louis,missouri,2025-09-08 07:29,2025-09-14 07:29,hvac units,1463.23,forklift required at delivery,26080,electronics
64,dallas,texas,houston,texas,2025-09-06 07:29,2025-09-07 07:29,generators,6399.16,"fragile, handle with care",13237,electronics
65,houston,texas,portland,oregon,2025-09-06 07:29,2025-09-09 07:29,robotics/automation units,7622.0,temperature-sensitive cargo,29053,paper goods
66,las vegas,nevada,boston,massachusetts,2025-09-12 07:29,2025-09-17 07:29,robotics/automation units,4525.98,"fragile, shock protection required",9589,paper goods
67,new york,new york,memphis,tennessee,2025-09-15 07:29,2025-09-18 07:29,cranes,7158.03,requires special handling crew,24050,machinery
68,san francisco,california,new york,new york,2025-09-11 07:29,2025-09-14 07:29,wind turbines,2758.07,escort vehicles required,41533,machinery
69,st. louis,missouri,phoenix,arizona,2025-09-06 07:29,2025-09-11 07:29,transformers,1327.88,"high-value, insurance required",16507,machinery
70,denver,colorado,las vegas,nevada,2025-09-10 07:29,2025-09-17 07:29,medical equipment,6173.93,temperature controlled environment required,30358,electronics
71,st. louis,missouri,denver,colorado,2025-09-13 07:29,2025-09-16 07:29,generators,5058.37,secure load with chains,6320,steel
72,minneapolis,minnesota,dallas,texas,2025-09-15 07:29,2025-09-16 07:29,farm equipment,2001.86,"handle carefully, sensitive hydraulics",15340,produce
73,denver,colorado,new york,new york,2025-09-06 07:29,2025-09-07 07:29,farm equipment,2361.79,"handle carefully, sensitive hydraulics",33274,produce
74,denver,colorado,seattle,washington,2025-09-13 07:29,2025-09-14 07:29,mining equipment,5879.24,requires unloading with crane,9482,machinery
75,memphis,tennessee,cleveland,ohio,2025-09-13 07:29,2025-09-16 07:29,medical equipment,1333.47,"fragile, no stacking",6807,pharmaceuticals
76,chicago,illinois,cleveland,ohio,2025-09-09 07:29,2025-09-11 07:29,farm equipment,5414.68,delivery to rural farm,14019,beverages
77,minneapolis,minnesota,detroit,michigan,2025-09-11 07:29,2025-09-17 07:29,farm equipment,7345.85,delivery to rural farm,13790,produce
78,st. louis,missouri,phoenix,arizona,2025-09-09 07:29,2025-09-11 07:29,generators,3560.82,"fragile, handle with care",11886,electronics
79,los angeles,california,boston,massachusetts,2025-09-07 07:29,2025-09-12 07:29,construction machinery,1862.57,must deliver to construction site,12411,machinery
80,las vegas,nevada,denver,colorado,2025-09-14 07:29,2025-09-20 07:29,mining equipment,6304.92,requires unloading with crane,10676,steel
81,san francisco,california,dallas,texas,2025-09-09 07:29,2025-09-10 07:29,medical equipment,3838.16,"fragile, no stacking",26481,electronics
82,chicago,illinois,las vegas,nevada,2025-09-10 07:29,2025-09-12 07:29,construction machinery,4256.3,must deliver to construction site,5933,steel
83,houston,texas,denver,colorado,2025-09-10 07:29,2025-09-13 07:29,wind turbines,3627.87,handle with extreme care,22687,steel
84,boston,massachusetts,cleveland,ohio,2025-09-08 07:29,2025-09-15 07:29,medical equipment,5916.8,temperature controlled environment required,27363,pharmaceuticals
85,boston,massachusetts,memphis,tennessee,2025-09-15 07:29,2025-09-18 07:29,cranes,3845.17,requires special handling crew,24449,steel
86,san francisco,california,portland,oregon,2025-09-07 07:29,2025-09-08 07:29,wind turbines,1856.4,escort vehicles required,46040,machinery
87,portland,oregon,boston,massachusetts,2025-09-11 07:29,2025-09-14 07:29,mining equipment,4330.73,delivery to mining site,39967,machinery
88,chicago,illinois,boston,massachusetts,2025-09-09 07:29,2025-09-14 07:29,robotics/automation units,1530.35,delivery to tech facility only,40524,paper goods
89,las vegas,nevada,boston,massachusetts,2025-09-09 07:29,2025-09-15 07:29,medical equipment,7988.17,delivery to hospital dock only,36448,electronics
90,houston,texas,dallas,texas,2025-09-07 07:29,2025-09-11 07:29,hvac units,4821.91,protect from rain,37331,electronics
91,cleveland,ohio,new york,new york,2025-09-10 07:29,2025-09-17 07:29,transformers,7528.41,special permits required,47208,machinery
92,dallas,texas,portland,oregon,2025-09-09 07:29,2025-09-10 07:29,medical equipment,1588.35,"fragile, no stacking",42932,pharmaceuticals
93,phoenix,arizona,new york,new york,2025-09-15 07:29,2025-09-18 07:29,medical equipment,2141.19,delivery to hospital dock only,23153,pharmaceuticals
94,las vegas,nevada,chicago,illinois,2025-09-15 07:29,2025-09-21 07:29,mining equipment,4157.73,"extra heavy, special trailer required",33375,steel
95,dallas,texas,seattle,washington,2025-09-14 07:29,2025-09-17 07:29,cranes,6808.97,requires special handling crew,34871,machinery
96,houston,texas,salt lake city,utah,2025-09-09 07:29,2025-09-13 07:29,cranes,5570.72,"heavy load, confirm bridge clearance",15029,steel
97,boston,massachusetts,houston,texas,2025-09-10 07:29,2025-09-11 07:29,mining equipment,5558.17,delivery to mining site,38141,machinery
98,dallas,texas,new york,new york,2025-09-08 07:29,2025-09-13 07:29,medical equipment,4345.23,delivery to hospital dock only,11819,electronics
99,cleveland,ohio,memphis,tennessee,2025-09-09 07:29,2025-09-14 07:29,wind turbines,2180.64,escort vehicles required,21373,machinery
100,st. louis,missouri,cleveland,ohio,2025-09-07 07:29,2025-09-08 07:29,hvac units,4138.69,do not stack units,36667,paper goods
101,chicago,illinois,st. louis,missouri,2025-09-10 07:29,2025-09-17 07:29,cranes,2149.28,"heavy load, confirm bridge clearance",41847,steel
102,salt lake city,utah,boston,massachusetts,2025-09-07 07:29,2025-09-08 07:29,generators,1560.79,requires crane at delivery,45642,electronics
103,salt lake city,utah,los angeles,california,2025-09-10 07:29,2025-09-15 07:29,hvac units,3382.62,protect from rain,22631,electronics
104,chicago,illinois,denver,colorado,2025-09-13 07:29,2025-09-16 07:29,generators,3069.79,"fragile, handle with care",11171,machinery
105,minneapolis,minnesota,san francisco,california,2025-09-08 07:29,2025-09-10 07:29,robotics/automation units,1384.51,"fragile, shock protection required",27291,electronics
106,portland,oregon,st. louis,missouri,2025-09-09 07:29,2025-09-10 07:29,construction machinery,6653.8,requires flatbed with ramps,5088,steel
107,atlanta,georgia,cleveland,ohio,2025-09-06 07:29,2025-09-10 07:29,wind turbines,1914.13,handle with extreme care,42996,steel
108,seattle,washington,salt lake city,utah,2025-09-06 07:29,2025-09-09 07:29,generators,4286.11,secure load with chains,16618,machinery
109,dallas,texas,salt lake city,utah,2025-09-08 07:29,2025-09-13 07:29,transformers,4512.82,special permits required,19540,machinery
110,chicago,illinois,houston,texas,2025-09-10 07:29,2025-09-13 07:29,medical equipment,7689.36,delivery to hospital dock only,36072,pharmaceuticals
111,portland,oregon,cleveland,ohio,2025-09-12 07:29,2025-09-15 07:29,transformers,7061.67,needs escort vehicle,8531,machinery
112,atlanta,georgia,dallas,texas,2025-09-15 07:29,2025-09-17 07:29,cranes,4525.24,"heavy load, confirm bridge clearance",15047,steel
113,phoenix,arizona,portland,oregon,2025-09-11 07:29,2025-09-18 07:29,wind turbines,5999.06,"oversized load, route survey required",13577,steel
114,minneapolis,minnesota,miami,florida,2025-09-10 07:29,2025-09-15 07:29,generators,5007.76,secure load with chains,45810,electronics
115,denver,colorado,st. louis,missouri,2025-09-12 07:29,2025-09-16 07:29,generators,7257.41,"fragile, handle with care",43595,steel
116,phoenix,arizona,minneapolis,minnesota,2025-09-12 07:29,2025-09-16 07:29,medical equipment,3819.23,"fragile, no stacking",29968,electronics
117,phoenix,arizona,cleveland,ohio,2025-09-10 07:29,2025-09-13 07:29,generators,1218.29,requires crane at delivery,31892,electronics
118,denver,colorado,st. louis,missouri,2025-09-09 07:29,2025-09-13 07:29,medical equipment,3799.14,temperature controlled environment required,26616,pharmaceuticals
119,los angeles,california,dallas,texas,2025-09-11 07:29,2025-09-16 07:29,mining equipment,6681.96,delivery to mining site,17532,machinery
120,boston,massachusetts,memphis,tennessee,2025-09-13 07:29,2025-09-18 07:29,robotics/automation units,6396.06,"fragile, shock protection required",44245,paper goods
121,salt lake city,utah,los angeles,california,2025-09-08 07:29,2025-09-15 07:29,hvac units,6157.27,protect from rain,22291,electronics
122,atlanta,georgia,dallas,texas,2025-09-07 07:29,2025-09-08 07:29,construction machinery,7368.4,"oversized load, permits needed",33329,machinery
123,atlanta,georgia,new york,new york,2025-09-12 07:29,2025-09-16 07:29,mining equipment,7284.33,requires unloading with crane,29165,machinery
124,chicago,illinois,portland,oregon,2025-09-13 07:29,2025-09-19 07:29,wind turbines,7731.59,"oversized load, route survey required",20448,machinery
125,las vegas,nevada,salt lake city,utah,2025-09-09 07:29,2025-09-13 07:29,generators,5580.65,requires crane at delivery,26291,machinery
126,san francisco,california,st. louis,missouri,2025-09-13 07:29,2025-09-17 07:29,hvac units,7991.0,protect from rain,30006,electronics
127,minneapolis,minnesota,las vegas,nevada,2025-09-14 07:29,2025-09-18 07:29,farm equipment,3780.54,requires unloading assistance,29334,beverages
128,phoenix,arizona,denver,colorado,2025-09-10 07:29,2025-09-12 07:29,farm equipment,4001.73,delivery to rural farm,38059,beverages
129,phoenix,arizona,new york,new york,2025-09-14 07:29,2025-09-21 07:29,mining equipment,7370.8,"extra heavy, special trailer required",38349,steel
130,las vegas,nevada,denver,colorado,2025-09-06 07:29,2025-09-12 07:29,robotics/automation units,3100.56,temperature-sensitive cargo,47310,electronics
131,san francisco,california,phoenix,arizona,2025-09-14 07:29,2025-09-18 07:29,robotics/automation units,2230.31,delivery to tech facility only,10687,paper goods
132,boston,massachusetts,houston,texas,2025-09-06 07:29,2025-09-10 07:29,wind turbines,3879.67,escort vehicles required,35274,steel
133,boston,massachusetts,phoenix,arizona,2025-09-14 07:29,2025-09-20 07:29,transformers,5385.32,needs escort vehicle,26789,machinery
134,seattle,washington,houston,texas,2025-09-11 07:29,2025-09-18 07:29,wind turbines,5115.7,escort vehicles required,30543,machinery
135,detroit,michigan,boston,massachusetts,2025-09-06 07:29,2025-09-12 07:29,robotics/automation units,3872.9,"fragile, shock protection required",44614,paper goods
136,boston,massachusetts,detroit,michigan,2025-09-15 07:29,2025-09-21 07:29,robotics/automation units,5349.57,temperature-sensitive cargo,26407,paper goods
137,los angeles,california,atlanta,georgia,2025-09-08 07:29,2025-09-09 07:29,robotics/automation units,7651.17,temperature-sensitive cargo,11876,paper goods
138,cleveland,ohio,san francisco,california,2025-09-09 07:29,2025-09-14 07:29,wind turbines,5825.49,handle with extreme care,43027,machinery
139,st. louis,missouri,miami,florida,2025-09-08 07:29,2025-09-11 07:29,mining equipment,1964.08,requires unloading with crane,30806,machinery
140,dallas,texas,seattle,washington,2025-09-10 07:29,2025-09-13 07:29,farm equipment,6560.47,requires unloading assistance,9462,produce
141,denver,colorado,seattle,washington,2025-09-09 07:29,2025-09-12 07:29,transformers,6254.75,needs escort vehicle,27157,steel
142,denver,colorado,dallas,texas,2025-09-07 07:29,2025-09-14 07:29,medical equipment,6090.89,temperature controlled environment required,22887,electronics
143,detroit,michigan,miami,florida,2025-09-13 07:29,2025-09-16 07:29,construction machinery,1453.9,requires flatbed with ramps,25867,machinery
144,phoenix,arizona,minneapolis,minnesota,2025-09-14 07:29,2025-09-17 07:29,generators,2345.78,"fragile, handle with care",39394,steel
145,los angeles,california,minneapolis,minnesota,2025-09-06 07:29,2025-09-10 07:29,wind turbines,4212.34,escort vehicles required,17672,steel
146,houston,texas,seattle,washington,2025-09-09 07:29,2025-09-11 07:29,wind turbines,4089.39,escort vehicles required,10529,steel
147,salt lake city,utah,chicago,illinois,2025-09-15 07:29,2025-09-17 07:29,cranes,2918.04,"heavy load, confirm bridge clearance",12349,steel
148,atlanta,georgia,phoenix,arizona,2025-09-15 07:29,2025-09-19 07:29,medical equipment,5278.51,delivery to hospital dock only,32128,electronics
149,minneapolis,minnesota,cleveland,ohio,2025-09-10 07:29,2025-09-17 07:29,construction machinery,3781.34,requires flatbed with ramps,22477,machinery
150,dallas,texas,atlanta,georgia,2025-09-10 07:29,2025-09-11 07:29,construction machinery,1871.36,requires flatbed with ramps,27921,machinery
151,las vegas,nevada,salt lake city,utah,2025-09-09 07:29,2025-09-13 07:29,medical equipment,7188.11,delivery to hospital dock only,26100,electronics
152,chicago,illinois,dallas,texas,2025-09-10 07:29,2025-09-13 07:29,wind turbines,6572.79,"oversized load, route survey required",38942,steel
153,minneapolis,minnesota,portland,oregon,2025-09-14 07:29,2025-09-17 07:29,construction machinery,4917.35,"oversized load, permits needed",9407,machinery
154,phoenix,arizona,cleveland,ohio,2025-09-11 07:29,2025-09-17 07:29,robotics/automation units,3518.44,temperature-sensitive cargo,29006,paper goods
155,los angeles,california,new york,new york,2025-09-11 07:29,2025-09-17 07:29,construction machinery,5269.24,must deliver to construction site,25053,steel
156,memphis,tennessee,minneapolis,minnesota,2025-09-15 07:29,2025-09-16 07:29,mining equipment,5952.89,"extra heavy, special trailer required",18900,machinery
157,phoenix,arizona,detroit,michigan,2025-09-09 07:29,2025-09-15 07:29,mining equipment,4437.26,delivery to mining site,41985,steel
158,atlanta,georgia,denver,colorado,2025-09-13 07:29,2025-09-20 07:29,medical equipment,1348.49,temperature controlled environment required,16013,electronics
159,new york,new york,atlanta,georgia,2025-09-07 07:29,2025-09-08 07:29,cranes,6741.96,"heavy load, confirm bridge clearance",28169,machinery
160,houston,texas,portland,oregon,2025-09-15 07:29,2025-09-19 07:29,generators,4672.62,secure load with chains,45992,steel
161,st. louis,missouri,phoenix,arizona,2025-09-13 07:29,2025-09-20 07:29,wind turbines,5724.24,"oversized load, route survey required",39509,machinery
162,denver,colorado,new york,new york,2025-09-12 07:29,2025-09-15 07:29,farm equipment,5556.84,delivery to rural farm,27230,produce
163,dallas,texas,detroit,michigan,2025-09-07 07:29,2025-09-10 07:29,construction machinery,5775.02,"oversized load, permits needed",42016,machinery
164,detroit,michigan,st. louis,missouri,2025-09-08 07:29,2025-09-13 07:29,cranes,5858.96,requires special handling crew,17596,machinery
165,portland,oregon,denver,colorado,2025-09-12 07:29,2025-09-18 07:29,generators,4737.05,requires crane at delivery,20732,electronics
166,phoenix,arizona,houston,texas,2025-09-15 07:29,2025-09-18 07:29,mining equipment,2917.04,requires unloading with crane,36592,steel
167,detroit,michigan,cleveland,ohio,2025-09-13 07:29,2025-09-20 07:29,hvac units,3238.59,do not stack units,11588,paper goods
168,detroit,michigan,minneapolis,minnesota,2025-09-07 07:29,2025-09-14 07:29,cranes,7595.14,requires special handling crew,36849,steel
169,las vegas,nevada,st. louis,missouri,2025-09-07 07:29,2025-09-14 07:29,robotics/automation units,2027.95,"fragile, shock protection required",26719,paper goods
170,seattle,washington,atlanta,georgia,2025-09-10 07:29,2025-09-15 07:29,transformers,2253.41,"high-value, insurance required",8907,steel
171,phoenix,arizona,los angeles,california,2025-09-13 07:29,2025-09-14 07:29,wind turbines,7415.5,escort vehicles required,30748,machinery
172,new york,new york,boston,massachusetts,2025-09-09 07:29,2025-09-11 07:29,construction machinery,4277.48,"oversized load, permits needed",40350,machinery
173,las vegas,nevada,phoenix,arizona,2025-09-08 07:29,2025-09-10 07:29,transformers,2890.64,"high-value, insurance required",16106,machinery
